Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-01-17,92.080002,92.730003,90.589996,91.75,91.75,1752100,232
2023-01-18,92.730003,93.559998,90.940002,92.730003,92.730003,2235400,233
2023-01-19,91.370003,94.519997,91.144997,93.580002,93.580002,2280800,234
2023-01-20,96.099998,98.279999,95.610001,97.910004,97.910004,2760900,235
2023-01-23,102.389999,104,99.379997,99.940002,99.940002,4690800,236
2023-01-24,99,100.510002,97.949997,99.290001,99.290001,1482200,237
2023-01-25,97.18,100.059998,94.349998,100.029999,100.029999,2180400,238
2023-01-26,101.290001,102.169998,99.690002,101.300003,101.300003,1505300,239
2023-01-27,100.519997,103.309998,100.32,102.239998,102.239998,1753500,240
2023-01-30,101.07,102.43,99.800003,100,100,2322800,241
2023-01-31,109.370003,113.300003,106.309998,112.720001,112.720001,9597000,242
2023-02-01,113.370003,119.599998,111.629997,118.139999,118.139999,4556500,243
2023-02-02,120.779999,123.980003,118.849998,122.57,122.57,5198400,244
2023-02-03,118.080002,123.82,118.000999,121.169998,121.169998,2552100,245
2023-02-06,123.5,125.629997,121.370003,122.919998,122.919998,3348300,246
2023-02-07,121.769997,126.040001,121.360001,125.379997,125.379997,2884800,247
2023-02-08,124.400002,125.269997,122.860001,123.68,123.68,1494800,248
2023-02-09,125.800003,126.660004,120.120003,120.830002,120.830002,1433600,249
2023-02-10,125,127.790001,124.120003,125.160004,125.160004,3708554,250
